Reporting Area,MMWR Year,MMWR Week,"Rabies, Animal, Current week","Rabies, Animal, Current week, flag","Rabies, Animal, Previous 52 weeks Max†","Rabies, Animal, Previous 52 weeks Max†, flag","Rabies, Animal, Cum 2019†","Rabies, Animal, Cum 2019†, flag","Rabies, Animal, Cum 2018†","Rabies, Animal, Cum 2018†, flag","Rabies, Human, Current week","Rabies, Human, Current week, flag","Rabies, Human, Previous 52 weeks Max†","Rabies, Human, Previous 52 weeks Max†, flag","Rabies, Human, Cum 2019†","Rabies, Human, Cum 2019†, flag","Rabies, Human, Cum 2018†","Rabies, Human, Cum 2018†, flag",Location 1,Location 2,Reporting Area Sort
NEBRASKA,2019,32,1,,2,,9,,14,,,-,0,,,-,,-,"NEBRASKA
(41.527099, -99.810595)",,20193225
NORTH DAKOTA,2019,32,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20193226
SOUTH DAKOTA,2019,32,,-,2,,3,,11,,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20193227
SOUTH ATLANTIC,2019,32,,-,68,,405,,489,,,-,1,,,-,1,,,SOUTH ATLANTIC,20193228
DELAWARE,2019,32,,-,0,,,-,,-,,-,1,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20193229
DISTRICT OF COLUMBIA,2019,32,,-,0,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20193230
FLORIDA,2019,32,,-,62,,85,,111,,,-,0,,,-,1,,"FLORIDA
(28.260731, -82.420978)",,20193231
GEORGIA,2019,32,,-,0,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20193232
MARYLAND,2019,32,,-,10,,112,,165,,,-,0,,,-,,-,"MARYLAND
(38.946466, -76.687282)",,20193233
NORTH CAROLINA,2019,32,,-,17,,174,,194,,,-,0,,,-,,-,"NORTH CAROLINA
(35.52603, -79.130883)",,20193234
SOUTH CAROLINA,2019,32,,N,,NC,,N,,N,,-,0,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20193235
VIRGINIA,2019,32,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20193236
WEST VIRGINIA,2019,32,,-,5,,34,,19,,,-,0,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20193237
EAST SOUTH CENTRAL,2019,32,4,,8,,39,,47,,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20193238
ALABAMA,2019,32,3,,4,,29,,35,,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",,20193239
KENTUCKY,2019,32,1,,8,,9,,8,,,-,0,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20193240
MISSISSIPPI,2019,32,,-,1,,1,,4,,,-,0,,,-,,-,"MISSISSIPPI
(32.713378, -89.65344)",,20193241
TENNESSEE,2019,32,,-,0,,,-,,-,,-,0,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20193242
WEST SOUTH CENTRAL,2019,32,1,,47,,68,,382,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20193243
ARKANSAS,2019,32,,-,7,,19,,17,,,-,0,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20193244
LOUISIANA,2019,32,,-,0,,,-,,-,,-,0,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20193245
