Reporting Area,MMWR Year,MMWR Week,"Rabies, Animal, Current week","Rabies, Animal, Current week, flag","Rabies, Animal, Previous 52 weeks Max†","Rabies, Animal, Previous 52 weeks Max†, flag","Rabies, Animal, Cum 2021†","Rabies, Animal, Cum 2021†, flag","Rabies, Animal, Cum 2020†","Rabies, Animal, Cum 2020†, flag","Rabies, Human, Current week","Rabies, Human, Current week, flag","Rabies, Human, Previous 52 weeks Max†","Rabies, Human, Previous 52 weeks Max†, flag","Rabies, Human, Cum 2021†","Rabies, Human, Cum 2021†, flag","Rabies, Human, Cum 2020†","Rabies, Human, Cum 2020†, flag",Location 1,Location 2,Reporting Area Sort,geocode
EAST NORTH CENTRAL,2021,4,,-,14,,1,,,-,,-,0,,,-,,-,,EAST NORTH CENTRAL,20210414,
TENNESSEE,2021,4,,-,0,,,-,,-,,-,0,,,-,,-,TENNESSEE,,20210442,POINT (-86.343226 35.842998)
CONNECTICUT,2021,4,,-,0,,,-,,-,,-,0,,,-,,-,CONNECTICUT,,20210403,POINT (-72.738288 41.575155)
MARYLAND,2021,4,,-,0,,,-,,-,,-,0,,,-,,-,MARYLAND,,20210433,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2021,4,,N,,NC,,N,,N,,-,0,,,-,,-,SOUTH CAROLINA,,20210435,POINT (-80.864614 33.878572)
OKLAHOMA,2021,4,,-,2,,1,,,-,,-,0,,,-,,-,OKLAHOMA,,20210446,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2021,4,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20210465,POINT (145.725693 15.1834)
OHIO,2021,4,,-,3,,1,,,-,,-,0,,,-,,-,OHIO,,20210418,POINT (-82.70936 40.415534)
MINNESOTA,2021,4,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20210423,POINT (-94.198308 46.349153)
LOUISIANA,2021,4,,-,0,,,-,,-,,-,0,,,-,,-,LOUISIANA,,20210445,POINT (-91.840238 30.921314)
HAWAII,2021,4,,-,0,,,-,,-,,-,0,,,-,,-,HAWAII,,20210460,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2021,4,3,,12,,6,,96,,,-,0,,,-,,-,,SOUTH ATLANTIC,20210428,
PENNSYLVANIA,2021,4,,-,0,,,-,,-,,-,0,,,-,,-,PENNSYLVANIA,,20210413,POINT (-77.838886 40.896694)
UTAH,2021,4,,-,3,,,-,,-,,-,0,,,-,,-,UTAH,,20210455,POINT (-111.678222 39.323779)
COLORADO,2021,4,,-,0,,,-,,-,,-,0,,,-,,-,COLORADO,,20210450,POINT (-105.547832 38.998552)
VERMONT,2021,4,,-,0,,,-,,-,,-,0,,,-,,-,VERMONT,,20210408,POINT (-72.662695 44.075252)
KENTUCKY,2021,4,,-,5,,,-,,-,,-,0,,,-,,-,KENTUCKY,,20210440,POINT (-85.290484 37.526683)
PUERTO RICO,2021,4,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20210467,POINT (-66.414655 18.215692)
MAINE,2021,4,,-,6,,3,,7,,,-,0,,,-,,-,MAINE,,20210404,POINT (-69.06137 45.117911)
VIRGINIA,2021,4,,-,0,,,-,,-,,-,0,,,-,,-,VIRGINIA,,20210436,POINT (-78.666382 37.510861)
ARIZONA,2021,4,,N,,NC,,N,,N,,-,0,,,-,,-,ARIZONA,,20210449,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2021,4,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20210464,
WISCONSIN,2021,4,,-,0,,,-,,-,,-,0,,,-,,-,WISCONSIN,,20210419,POINT (-89.732969 44.639954)
IDAHO,2021,4,,-,0,,,-,,-,,-,0,,,-,,-,IDAHO,,20210451,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2021,4,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20210468,POINT (-64.840836 18.060868)
MICHIGAN,2021,4,,-,6,,,-,,-,,-,0,,,-,,-,MICHIGAN,,20210417,POINT (-85.730977 44.874798)
GEORGIA,2021,4,,-,0,,,-,,-,,-,0,,,-,,-,GEORGIA,,20210432,POINT (-83.426574 32.638481)
NEW YORK CITY,2021,4,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20210412,
ARKANSAS,2021,4,1,,3,,1,,2,,,-,0,,,-,,-,ARKANSAS,,20210444,POINT (-92.439162 34.899825)
MISSISSIPPI,2021,4,,-,1,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,20210441,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2021,4,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20210427,POINT (-100.230491 44.43614)
WYOMING,2021,4,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20210456,POINT (-107.55145 42.999627)
MISSOURI,2021,4,1,,3,,1,,,-,,-,0,,,-,,-,MISSOURI,,20210424,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2021,4,5,,26,,14,,17,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20210409,
CALIFORNIA,2021,4,,-,12,,,-,4,,,-,0,,,-,,-,CALIFORNIA,,20210459,POINT (-119.662127 37.211164)
WEST VIRGINIA,2021,4,,-,5,,,-,,-,,-,0,,,-,,-,WEST VIRGINIA,,20210437,POINT (-80.613729 38.642579)
FLORIDA,2021,4,3,,7,,5,,70,,,-,0,,,-,,-,FLORIDA,,20210431,POINT (-82.420978 28.260731)
MONTANA,2021,4,,-,2,,,-,,-,,-,0,,,-,,-,MONTANA,,20210452,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2021,4,1,,4,,2,,,-,,-,0,,,-,,-,,WEST NORTH CENTRAL,20210420,
MASSACHUSETTS,2021,4,,-,0,,,-,,-,,-,0,,,-,,-,MASSACHUSETTS,,20210405,POINT (-71.481104 42.151077)
MOUNTAIN,2021,4,,-,7,,,-,,-,,-,0,,,-,,-,,MOUNTAIN,20210448,
INDIANA,2021,4,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20210416,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2021,4,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20210469,
US TERRITORIES,2021,4,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20210463,
TOTAL,2021,5,6,,61,,45,,171,,,-,0,,,-,,-,,TOTAL,20210570,
