Reporting Area,MMWR Year,MMWR Week,"Rabies, Animal, Current week","Rabies, Animal, Current week, flag","Rabies, Animal, Previous 52 weeks Max†","Rabies, Animal, Previous 52 weeks Max†, flag","Rabies, Animal, Cum 2020†","Rabies, Animal, Cum 2020†, flag","Rabies, Animal, Cum 2019†","Rabies, Animal, Cum 2019†, flag","Rabies, Human, Current week","Rabies, Human, Current week, flag","Rabies, Human, Previous 52 weeks Max†","Rabies, Human, Previous 52 weeks Max†, flag","Rabies, Human, Cum 2020†","Rabies, Human, Cum 2020†, flag","Rabies, Human, Cum 2019†","Rabies, Human, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
NEW ENGLAND,2020,2,1,,9,,2,,4,,,-,0,,,-,,-,,NEW ENGLAND,20200202,
CONNECTICUT,2020,2,,-,2,,,-,,-,,-,0,,,-,,-,CONNECTICUT,,20200203,POINT (-72.738288 41.575155)
MAINE,2020,2,,-,6,,,-,2,,,-,0,,,-,,-,MAINE,,20200204,POINT (-69.06137 45.117911)
NEW HAMPSHIRE,2020,2,1,,3,,2,,2,,,-,0,,,-,,-,NEW HAMPSHIRE,,20200206,POINT (-71.57139 43.680429)
RHODE ISLAND,2020,2,,-,7,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20200207,POINT (-71.534637 41.572574)
VERMONT,2020,2,,-,2,,,-,,-,,-,0,,,-,,-,VERMONT,,20200208,POINT (-72.662695 44.075252)
MIDDLE ATLANTIC,2020,2,6,,27,,8,,4,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20200209,
NEW JERSEY,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,NEW JERSEY,,20200210,POINT (-74.655514 40.110253)
NEW YORK,2020,2,6,,27,,8,,4,,,-,0,,,-,,-,NEW YORK,,20200211,POINT (-75.59655 42.921241)
NEW YORK CITY,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20200212,
PENNSYLVANIA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,PENNSYLVANIA,,20200213,POINT (-77.838886 40.896694)
EAST NORTH CENTRAL,2020,2,,-,13,,,-,2,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20200214,
ILLINOIS,2020,2,,-,7,,,-,1,,,-,0,,,-,,-,ILLINOIS,,20200215,POINT (-89.148632 40.124144)
MICHIGAN,2020,2,,-,6,,,-,1,,,-,0,,,-,,-,MICHIGAN,,20200217,POINT (-85.730977 44.874798)
OHIO,2020,2,,-,4,,,-,,-,,-,0,,,-,,-,OHIO,,20200218,POINT (-82.70936 40.415534)
WISCONSIN,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,WISCONSIN,,20200219,POINT (-89.732969 44.639954)
IOWA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,IOWA,,20200221,POINT (-93.500061 42.074659)
KANSAS,2020,2,,-,3,,,-,2,,,-,0,,,-,,-,KANSAS,,20200222,POINT (-98.38018 38.484729)
MINNESOTA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200223,POINT (-94.198308 46.349153)
MISSOURI,2020,2,,-,4,,,-,,-,,-,0,,,-,,-,MISSOURI,,20200224,POINT (-92.477244 38.3675)
NEBRASKA,2020,2,,-,3,,,-,,-,,-,0,,,-,,-,NEBRASKA,,20200225,POINT (-99.810595 41.527099)
NORTH DAKOTA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,NORTH DAKOTA,,20200226,POINT (-100.46931 47.446305)
SOUTH DAKOTA,2020,2,,-,4,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20200227,POINT (-100.230491 44.43614)
SOUTH ATLANTIC,2020,2,9,,68,,19,,77,,,-,0,,,-,,-,,SOUTH ATLANTIC,20200228,
DELAWARE,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20200229,POINT (-75.452394 38.994926)
